Date,Close,Daily_Return_%,Volume,Volume_Avg20,Volume_Spike,Volatility_5d,Volatility_20d,Avg_VADER_Score,Median_VADER_Score,News_Count,Sentiment_Std,Hindi_Count,English_Avg_Score,Hindi_Avg_Score,Ticker,Sentiment_Yesterday,Return_Tomorrow,Return_Day_After,Return_Yesterday
02-01-2023,2478.901611,32.17621874,36920327,,0,,,,,,,,,,ADANI,,-4.193744474,25.37961446,
09-01-2023,2360.606445,-4.193744474,10223959,,0,30.08243219,,-0.3182,-0.3182,1,,0,-0.3182,,ADANI,,25.37961446,18.13047411,32.17621874
30-01-2023,1917.219971,25.37961446,66182019,,0,39.91095145,,0.035696875,0.0386,32,0.457244797,0,0.035696875,,ADANI,-0.3182,18.13047411,31.16953502,-4.193744474
06-02-2023,2213.336914,18.13047411,10391759,,0,31.29973298,,-0.085841667,-0.1531,12,0.530442466,0,-0.085841667,,ADANI,0.035696875,31.16953502,23.60257117,25.37961446
27-02-2023,1836.480713,31.16953502,76869603,,0,44.72002995,,0.00866,0,10,0.467827421,0,0.00866,,ADANI,-0.085841667,23.60257117,71.54505046,18.13047411
06-03-2023,2227.874023,23.60257117,11256027,9381813,0,19.65964209,32.94411359,-0.1374,-0.1612,10,0.372509138,0,-0.1374,,ADANI,0.00866,71.54505046,-21.42641771,31.16953502
27-03-2023,3821.807617,71.54505046,1028377,8797587.2,0,32.811077,34.59844617,-0.1374,,10,,,-0.1374,,ADANI,-0.1374,-21.42641771,2.458985627,23.60257117
03-04-2023,2468.410889,-21.42641771,16443321,8826522,0,44.35398538,36.41179485,-0.1374,,10,,,-0.1374,,ADANI,-0.1374,2.458985627,33.977507,71.54505046
10-04-2023,2528.957031,2.458985627,8538893,6949332.375,0,19.39179134,31.3651238,,,,,,,,ADANI,-0.1374,33.977507,22.8843473,-21.42641771
01-05-2023,2395.863281,33.977507,15980558,6337344.39,0,35.67839655,34.29383315,-0.10534,0,5,0.235547401,2,-0.175566667,0,ADANI,,22.8843473,-15.17079068,2.458985627
08-05-2023,2956.727783,22.8843473,30500853,4194704.217,1,18.77353402,28.52139224,0,0,1,,1,-0.175566667,0,ADANI,-0.10534,-15.17079068,31.32362541,33.977507
29-05-2023,1751.647217,-15.17079068,53413691,5468650.413,1,30.46655446,31.47233244,0,,1,,,-0.175566667,0,ADANI,0,31.32362541,28.40383204,22.8843473
05-06-2023,2244.009766,31.32362541,18646318,6712895.31,0,27.40785263,28.59073698,0,,1,,,,0,ADANI,0,28.40383204,-37.51358644,-15.17079068
12-06-2023,2881.394531,28.40383204,19355777,7321804.5,1,14.35402764,27.18377096,-0.328,-0.328,2,0,0,-0.328,,ADANI,0,-37.51358644,38.47299218,31.32362541
26-06-2023,1800.480103,-37.51358644,19188072,8138339.25,1,23.82888753,28.80534078,0.7157,0.7157,4,0.06466323,0,0.7157,,ADANI,-0.328,38.47299218,18.27020452,28.40383204
