Date,Close,Daily_Return_%,Volume,Volume_Avg20,Volume_Spike,Volatility_5d,Volatility_20d,Avg_VADER_Score,Median_VADER_Score,News_Count,Sentiment_Std,Hindi_Count,English_Avg_Score,Hindi_Avg_Score,Ticker,Sentiment_Yesterday,Return_Tomorrow,Return_Day_After,Return_Yesterday
2023-01-02,1268.891235,-10.496094229151053,21661735,,0,,,,,,,,,,INFY,,8.010532124682225,-14.129384783520294,
2023-01-09,1367.318481,8.010532124682225,10161992,,0,7.795784789774235,,,,,,,,,INFY,,-14.129384783520294,9.79439177252095,-10.496094229151053
2023-01-30,1171.584351,-14.129384783520294,24248874,,0,6.039334504542777,,,,,,,,,INFY,,9.79439177252095,-8.884392768322748,8.010532124682225
2023-02-06,1289.975342,9.79439177252095,22086516,,0,7.74499892210454,,,,,,,,,INFY,,-8.884392768322748,12.020924445783542,-14.129384783520294
2023-02-27,1163.972412,-8.884392768322748,26998886,,0,6.2316396535587515,,0.2023,0.2023,1.0,,0.0,0.2023,,INFY,,12.020924445783542,4.829021054780935,9.79439177252095
2023-03-06,1307.769531,12.020924445783542,21767065,5620939.225,0,7.0073031660036955,6.666824647847448,0.2023,,1.0,,,0.2023,,INFY,0.2023,4.829021054780935,1.0023005754074115,-8.884392768322748
2023-03-27,1370.921997,4.829021054780935,7059590,5616146.15,0,3.304072499712284,6.307186519471439,0.2023,,1.0,,,0.2023,,INFY,0.2023,1.0023005754074115,1.2807070177651259,12.020924445783542
2023-04-03,1361.74353,1.0023005754074115,20624535,5829503.2875,0,8.74899671626488,7.075122129173434,,,,,,,,INFY,0.2023,1.2807070177651259,-8.639427308053692,4.829021054780935
2023-04-10,1378.66333,1.2807070177651259,10022354,5850581.125,0,6.145634949596026,6.978397552180445,-0.34,-0.34,2.0,0.0,0.0,-0.34,,INFY,,-8.639427308053692,9.359786067293108,1.0023005754074115
2023-05-01,1252.253906,-8.639427308053692,33166018,5757415.720000001,1,5.1022130255255504,6.466860021969195,-0.34,,2.0,,,-0.34,,INFY,-0.34,9.359786067293108,-4.224683053276966,1.2807070177651259
2023-05-08,1368.871826,9.359786067293108,18004500,5767522.983333333,0,6.849047891814254,6.636820974669632,-0.34,,2.0,,,-0.34,,INFY,-0.34,-4.224683053276966,2.384731714348408,-8.639427308053692
2023-05-29,1304.063477,-4.224683053276966,24524533,5771853.8,0,5.29229032171688,6.208128287117777,,,,,,,,INFY,-0.34,2.384731714348408,5.059514538224996,9.359786067293108
2023-06-05,1321.185669,2.384731714348408,27382836,6070023.63,1,7.359968764490711,6.228347711119385,,,,,,,,INFY,,5.059514538224996,3.2339637886394934,-4.224683053276966
2023-06-12,1388.03125,5.059514538224996,5269178,5918470.95,0,5.2926585497285705,5.893436210602292,-0.328,-0.328,2.0,0.0,0.0,-0.328,,INFY,,3.2339637886394934,-3.216845892062614,2.384731714348408
2023-06-26,1432.919678,3.2339637886394934,4336238,5909762.55,0,5.197829605272564,5.915470007288147,0.7184,0.7184,2.0,0.0,0.0,0.7184,,INFY,-0.328,-3.216845892062614,1.404446716199903,5.059514538224996
2023-07-03,1362.765991,-3.216845892062614,19834061,5663609.0375,0,8.94989402507382,6.90974792580367,0.7184,,2.0,,,0.7184,,INFY,0.7184,1.404446716199903,-12.948789840300378,3.2339637886394934
2023-07-10,1380.122681,1.404446716199903,6696662,5327162.475,0,6.23319298750235,6.574410306190566,0.0258,0.0258,2.0,0.0,0.0,0.0258,,INFY,0.7184,-12.948789840300378,17.16029316393003,-3.216845892062614
2023-07-31,1192.304199,-12.948789840300378,22416202,5290777.9375,0,6.601339115930625,6.907528947987242,0.0258,,2.0,,,0.0258,,INFY,0.0258,17.16029316393003,-2.5433302306085084,1.404446716199903
2023-08-07,1403.89502,17.16029316393003,17161783,4920512.5625,0,8.454237893403977,7.3598296619040084,0.4215,0.4215,1.0,,0.0,0.4215,,INFY,0.0258,-2.5433302306085084,2.7592293818075255,-12.948789840300378
2023-08-28,1357.715332,-2.5433302306085084,23508284,5017254.566666666,1,6.521394134982657,7.25914404234797,0.4215,,1.0,,,0.4215,,INFY,0.4215,2.7592293818075255,-5.615580001007226,17.16029316393003
2023-09-04,1371.363403,2.7592293818075255,17967350,5183225.7375,0,9.866405088110646,7.9319919092074125,0.1591,0.1591,4.0,0.18371285565613893,0.0,0.1591,,INFY,0.4215,-5.615580001007226,4.140646924436475,-2.5433302306085084
2023-09-11,1294.353394,-5.615580001007226,5498051,5069458.4,0,9.594560708612288,7.551886644667723,0.1591,,4.0,,,0.1591,,INFY,0.1591,4.140646924436475,-2.4308775227637973,2.7592293818075255
2023-09-25,1347.947998,4.140646924436475,7158624,5240934.95,0,5.886689653224214,7.535947998019435,0.25776666666666664,0.19674999999999998,12.0,0.28275760686924806,0.0,0.25776666666666664,,INFY,0.1591,-2.4308775227637973,0.37214938784346785,-5.615580001007226
2023-10-02,1291.10498,-2.4308775227637973,27809204,5286602.866666667,0,7.867133786792304,7.948357874501734,0.25776666666666664,,12.0,,,0.25776666666666664,,INFY,0.25776666666666664,0.37214938784346785,-10.395724982288979,4.140646924436475
2023-10-09,1288.751465,0.37214938784346785,8632600,5209156.65,0,8.420750865807438,7.691463952967242,0.3416416666666667,0.43605000000000005,24.0,0.3409053737337969,0.0,0.3416416666666667,,INFY,0.25776666666666664,-10.395724982288979,20.266077415388104,-2.4308775227637973
2023-10-30,1152.003662,-10.395724982288979,20003808,5453534.783333334,0,6.780917022047426,7.72959685925002,0.13598,0.0,10.0,0.5421442054984592,0.0,0.13598,,INFY,0.3416416666666667,20.266077415388104,-3.1041342563125407,0.37214938784346785
2023-11-06,1401.400146,20.266077415388104,27174018,5217972.029999999,0,7.136571182711701,7.558318943074569,0.6939,0.6939,2.0,0.0,0.0,0.6939,,INFY,0.13598,-3.1041342563125407,2.2114949614738135,-10.395724982288979
2023-11-27,1357.898804,-3.1041342563125407,6591385,5321762.1,0,3.8425964249886446,6.739589441332621,0.6939,,2.0,,,0.6939,,INFY,0.6939,2.2114949614738135,2.0235605882869434,20.266077415388104
2023-12-04,1362.115479,2.2114949614738135,44886562,5657457.291666667,1,7.154305935889027,7.060101511402942,0.6939,,2.0,,,0.6939,,INFY,0.6939,2.0235605882869434,10.653320459571503,-3.1041342563125407
2023-12-11,1389.678711,2.0235605882869434,6103494,6060260.35,0,5.479537604548602,6.640392142243009,,,,,,,,INFY,0.6939,10.653320459571503,12.767929055767247,2.2114949614738135
2024-01-01,1527.680176,10.653320459571503,28337526,6179110.64,0,5.709987435798168,6.649179400730686,-0.7269,-0.7269,2.0,0.0,0.0,-0.7269,,INFY,,12.767929055767247,-17.603193733325064,2.0235605882869434
2024-01-08,1710.236572,12.767929055767247,11876052,6181607.333333333,0,10.084560252862559,7.186250755573209,0.3038181818181818,0.3612,11.0,0.23666875509108432,3.0,0.41775,0.0,INFY,-0.7269,-17.603193733325064,32.50204927867101,10.653320459571503
2024-01-29,1396.080811,-17.603193733325064,20534196,6046315.0,0,12.032725390784373,8.330728215622209,0.3038181818181818,,11.0,,,0.41775,0.0,INFY,0.3038181818181818,32.50204927867101,-3.2220036453902146,12.767929055767247
2024-02-05,1886.55249,32.50204927867101,33544204,6571858.8125,1,12.210495223387472,9.33198978525982,0.0,0.0,2.0,0.0,0.0,0.0,0.0,INFY,0.3038181818181818,-3.2220036453902146,-23.165882494251598,-17.603193733325064
2024-02-12,1825.7677,-3.2220036453902146,2868263,6462066.4,0,9.488728009187646,9.300278464845231,0.0,,2.0,,,0.0,,INFY,0.0,-23.165882494251598,28.853685673477525,32.50204927867101
2024-02-26,1402.8125,-23.165882494251598,7550363,6434446.05,0,15.999808575310507,10.926329226163556,0.4588,0.4588,2.0,0.0,0.0,0.4588,,INFY,0.0,28.853685673477525,1.0691763564993906,-3.2220036453902146
2024-03-04,1818.27356,28.853685673477525,47636011,6690901.858333333,1,11.719288608101783,11.106201713142541,0.4588,,2.0,,,0.4588,,INFY,0.4588,1.0691763564993906,-9.407104095939832,-23.165882494251598
2024-03-11,1837.714111,1.0691763564993906,4715792,6776332.6,0,9.815539143604529,11.547844153592756,0.4588,,2.0,,,0.4588,,INFY,0.4588,-9.407104095939832,16.35643334230531,28.853685673477525
2024-04-01,1585.155396,-9.407104095939832,44432554,7175990.26,1,14.218484139615919,12.421022368987213,0.0,0.0,1.0,,0.0,0.0,,INFY,0.4588,16.35643334230531,-23.98935722912152,1.0691763564993906
2024-04-08,1834.946045,16.35643334230531,26822088,7601487.1625,0,11.90293344851392,12.42017948638807,0.0,0.0,3.0,0.0,1.0,0.0,0.0,INFY,0.0,-23.98935722912152,32.58036574893046,-9.407104095939832
