Company Name,Symbol,Headline,Date,Original_Sentiment,Ticker,VADER_Score,VADER_Label,Is_Hindi
Adani Enterprises Ltd.,ADANIENT,Indian billionaire Gautam Adani indicted on bribery charges in alleged bribery scheme,2024-11-20,Positive,ADANI,-0.2732,Negative,0
Adani Enterprises Ltd.,ADANIENT,"Bangladesh top official calls for removing â€˜secularâ€™ from Constitution, citing 90% Muslim population",2024-11-15,Neutral,ADANI,0.2023,Positive,0
Adani Enterprises Ltd.,ADANIENT,"Nigerian communities seek $310 million from Shell, want asset sale stopped",2024-09-17,Neutral,ADANI,0.2263,Positive,0
Adani Enterprises Ltd.,ADANIENT,Adanis Rejig Digital Strategy as SuperApp Struggles for Traction,2024-08-08,Negative,ADANI,-0.3612,Negative,0
Adani Enterprises Ltd.,ADANIENT,Adani Ports Seeks More Global Footholds to Challenge China Might,2024-08-06,Neutral,ADANI,0.0772,Positive,0
Adani Enterprises Ltd.,ADANIENT,"Jaishankar met Canada Foreign Minister amid row, says report",2023-10-12,Negative,ADANI,0.0,Neutral,0
Adani Enterprises Ltd.,ADANIENT,Adanis Stick With Slum Revamp Plan Even as Dharavi Project Becomes Political Hot Potato,2024-08-09,Negative,ADANI,0.0,Neutral,0
Adani Enterprises Ltd.,ADANIENT,EV Giant BYD Plans to Build Karachi Plant as Part of Entry into Pakistan,2024-08-19,Neutral,ADANI,0.0,Neutral,0
Adani Enterprises Ltd.,ADANIENT,India reveals astronauts for its Gaganyaan space mission,2024-02-29,Neutral,ADANI,0.0,Neutral,0
Adani Enterprises Ltd.,ADANIENT,"Gautam Adani becomes Asia's richest man, beats Mukesh Ambani after SC's Hindenburg verdict",2024-01-08,Neutral,ADANI,0.6124,Positive,0
Adani Enterprises Ltd.,ADANIENT,"India: Opposition Leader Mahua Moitra Dragged, Forcibly Lifted By Delhi Cops As She Shouts â€˜How Can You Do This To An MP?'",2023-10-03,Neutral,ADANI,-0.0516,Negative,0
Adani Enterprises Ltd.,ADANIENT,Adanis to Hike Solar Panel Output by 150% to Cut China Reliance,2024-08-07,Neutral,ADANI,-0.2732,Negative,0
Adani Enterprises Ltd.,ADANIENT,BBC Documentary on Indian PM banned in India to be screened at the Australian Parliament House,2023-05-22,Neutral,ADANI,-0.4588,Negative,0
Adani Enterprises Ltd.,ADANIENT,India Sends Newly Assembled MALE UAVs To Israel,2024-02-05,Neutral,ADANI,0.0,Neutral,0
Adani Enterprises Ltd.,ADANIENT,'Anyone considering business deals with Iran...': US warns of sanctions after India-Iran Chabahar Port deal | India News - Times of India,2024-05-14,Neutral,ADANI,-0.1027,Negative,0
Adani Enterprises Ltd.,ADANIENT,"Over 40 later banned sockpuppets created or revised nine related articles on the Adani family and businesses, says Wikipedia",2023-02-21,Negative,ADANI,-0.25,Negative,0
Adani Enterprises Ltd.,ADANIENT,Fraud claims against Adani group spark political row in India,2023-02-03,Positive,ADANI,-0.6404,Negative,0
Adani Enterprises Ltd.,ADANIENT,Rich list: Adani's downfall continues as Zuckerberg has best day in ten years,2023-02-06,Neutral,ADANI,0.8316,Positive,0
Adani Enterprises Ltd.,ADANIENT,Adani: India watchdog probing Hindenburg fraud allegations,2023-02-14,Neutral,ADANI,-0.7859,Negative,0
Adani Enterprises Ltd.,ADANIENT,Adani Group: Asia's richest man hits back at 'con' allegations,2023-01-26,Neutral,ADANI,0.5267,Positive,0
Adani Enterprises Ltd.,ADANIENT,Israel Prime Minister Netanyahu hands over prestigious Haifa Port to India's Adani Group,2023-01-31,Negative,ADANI,0.0,Neutral,0
Adani Enterprises Ltd.,ADANIENT,Adani Group stocks lose up to 10% after Hindenburg reveals short positions,2023-01-25,Positive,ADANI,-0.4019,Negative,0
Adani Enterprises Ltd.,ADANIENT,India's troubled Adani invests in bankrupt Sri Lanka,2023-02-23,Negative,ADANI,-0.765,Negative,0
Adani Enterprises Ltd.,ADANIENT,"Adani in Crisis as Bonds Hit Distressed Levels, Stock Sale Axed | Adani companies have seen $92 billion erased from market value",2023-02-02,Neutral,ADANI,-0.7783,Negative,0
Adani Enterprises Ltd.,ADANIENT,Asia's richest no more? Gautam Adani's wealth crashes as $90 billion wiped off his business,2023-02-02,Neutral,ADANI,0.6872,Positive,0
Adani Enterprises Ltd.,ADANIENT,Adani crisis sparks protests and arrests in India as sell-off losses top $110 billion,2023-02-06,Positive,ADANI,-0.8689,Negative,0
Adani Enterprises Ltd.,ADANIENT,US commits $553 mln financing for Adani terminal venture at Colombo port,2023-11-08,Neutral,ADANI,0.0258,Neutral,0
Adani Enterprises Ltd.,ADANIENT,Adani claims US investment firmâ€™s fraud allegations are an â€˜attack on Indiaâ€™ | Adani Group,2023-01-30,Negative,ADANI,-0.7859,Negative,0
Adani Enterprises Ltd.,ADANIENT,"Saudi Arabia's NEOM reveals new trademarks Treyam, Aquellum and Jaumur, and partnerships with Bosch and Bain & Co.",2023-11-29,Neutral,ADANI,0.0,Neutral,0
Adani Enterprises Ltd.,ADANIENT,Adani row rocks India's parliament amid financial contagion fears,2023-02-03,Positive,ADANI,-0.7003,Negative,0
Adani Enterprises Ltd.,ADANIENT,Adani: Kenya cancels power transmission deal with Adani following US bribery charges,2024-11-21,Positive,ADANI,-0.4588,Negative,0
Adani Enterprises Ltd.,ADANIENT,Adani Group to sell stake in Adani Wilmar for $2 billion,2024-12-30,Positive,ADANI,0.0,Neutral,0
Adani Enterprises Ltd.,ADANIENT,India's Adani Group seeks to settle regulatory charge of shareholding violations ET reports,2024-12-03,Positive,ADANI,-0.5267,Negative,0
Adani Enterprises Ltd.,ADANIENT,India's parliament suspended after disruptions over Adani allegations other issues,2024-12-02,Neutral,ADANI,-0.6705,Negative,0
Adani Enterprises Ltd.,ADANIENT,Adani Group CFO rejects bribery allegations India says no US request yet on case,2024-11-29,Positive,ADANI,-0.6597,Negative,0
Adani Enterprises Ltd.,ADANIENT,Adani wipeout hurts but won't derail foreign investor faith in India,2024-11-28,Neutral,ADANI,0.6101,Positive,0
Adani Enterprises Ltd.,ADANIENT,Airports to cooking oil the many businesses of India's Gautam Adani,2024-11-28,Neutral,ADANI,0.0,Neutral,0
Adani Enterprises Ltd.,ADANIENT,India's parliament suspended temporarily after row over allegations against Adani group,2024-11-28,Neutral,ADANI,-0.4767,Negative,0
Adani Enterprises Ltd.,ADANIENT,India stocks higher at close of trade Nifty 50 up 0.35%,2024-11-27,Positive,ADANI,0.4019,Positive,0
Adani Enterprises Ltd.,ADANIENT,Modi's party distances itself from India's Adani amid opposition protests,2024-11-26,Positive,ADANI,0.2023,Positive,0
Adani Enterprises Ltd.,ADANIENT,Fitch places some Adani bonds on negative watch after US bribery charges,2024-11-25,Positive,ADANI,-0.7003,Negative,0
Adani Enterprises Ltd.,ADANIENT,Adani shares rise CFO says publicly listed firms not subject to US indictment,2024-11-25,Neutral,ADANI,0.496,Positive,0
Adani Enterprises Ltd.,ADANIENT,Adani Energy Solutions says no material impact from Kenya energy deal cancellation,2024-11-25,Neutral,ADANI,0.4019,Positive,0
