Company Name,Symbol,Headline,Date,Original_Sentiment,Ticker,VADER_Score,VADER_Label,Is_Hindi
Adani Enterprises Ltd.,ADANIENT,Indian billionaire Gautam Adani indicted on bribery charges in alleged bribery scheme,20-11-2024,Positive,ADANI,-0.2732,Negative,0
Adani Enterprises Ltd.,ADANIENT,"Bangladesh top official calls for removing â€˜secularâ€™ from Constitution, citing 90% Muslim population",15-11-2024,Neutral,ADANI,0.2023,Positive,0
Adani Enterprises Ltd.,ADANIENT,"Nigerian communities seek $310 million from Shell, want asset sale stopped",17-09-2024,Neutral,ADANI,0.2263,Positive,0
Adani Enterprises Ltd.,ADANIENT,Adanis Rejig Digital Strategy as SuperApp Struggles for Traction,08-08-2024,Negative,ADANI,-0.3612,Negative,0
Adani Enterprises Ltd.,ADANIENT,Adani Ports Seeks More Global Footholds to Challenge China Might,06-08-2024,Neutral,ADANI,0.0772,Positive,0
Adani Enterprises Ltd.,ADANIENT,"Jaishankar met Canada Foreign Minister amid row, says report",12-10-2023,Negative,ADANI,0,Neutral,0
Adani Enterprises Ltd.,ADANIENT,Adanis Stick With Slum Revamp Plan Even as Dharavi Project Becomes Political Hot Potato,09-08-2024,Negative,ADANI,0,Neutral,0
Adani Enterprises Ltd.,ADANIENT,EV Giant BYD Plans to Build Karachi Plant as Part of Entry into Pakistan,19-08-2024,Neutral,ADANI,0,Neutral,0
Adani Enterprises Ltd.,ADANIENT,India reveals astronauts for its Gaganyaan space mission,29-02-2024,Neutral,ADANI,0,Neutral,0
Adani Enterprises Ltd.,ADANIENT,"Gautam Adani becomes Asia's richest man, beats Mukesh Ambani after SC's Hindenburg verdict",08-01-2024,Neutral,ADANI,0.6124,Positive,0
Adani Enterprises Ltd.,ADANIENT,"India: Opposition Leader Mahua Moitra Dragged, Forcibly Lifted By Delhi Cops As She Shouts â€˜How Can You Do This To An MP?'",03-10-2023,Neutral,ADANI,-0.0516,Negative,0
Adani Enterprises Ltd.,ADANIENT,Adanis to Hike Solar Panel Output by 150% to Cut China Reliance,07-08-2024,Neutral,ADANI,-0.2732,Negative,0
Adani Enterprises Ltd.,ADANIENT,BBC Documentary on Indian PM banned in India to be screened at the Australian Parliament House,22-05-2023,Neutral,ADANI,-0.4588,Negative,0
Adani Enterprises Ltd.,ADANIENT,India Sends Newly Assembled MALE UAVs To Israel,05-02-2024,Neutral,ADANI,0,Neutral,0
Adani Enterprises Ltd.,ADANIENT,'Anyone considering business deals with Iran...': US warns of sanctions after India-Iran Chabahar Port deal | India News - Times of India,14-05-2024,Neutral,ADANI,-0.1027,Negative,0
