Company Name,Symbol,Headline,Date,Original_Sentiment,Ticker,VADER_Score,VADER_Label,Is_Hindi
Bharti Airtel Ltd.,BHARTIARTL,"Airtel Q2 FY25 net profit jumps 168% YoY to Rs 3,593 crore",2024-10-28,Neutral,BHARTIARTL,0.6404,Positive,0
Bharti Airtel Ltd.,BHARTIARTL,"Jio, Airtel, Vi continue to suffer customer losses for a third time",2024-11-21,Neutral,BHARTIARTL,-0.7351,Negative,0
Bharti Airtel Ltd.,BHARTIARTL,Elon Musk battles Mukesh Ambani over India's satellite internet,2024-10-28,Neutral,BHARTIARTL,-0.3818,Negative,0
Bharti Airtel Ltd.,BHARTIARTL,Forced offline: the Q3 2024 Internet disruption summary,2024-10-29,Negative,BHARTIARTL,-0.7184,Negative,0
Bharti Airtel Ltd.,BHARTIARTL,"Voda Idea Q2 loss narrows to Rs 7,176 crore",2024-11-13,Neutral,BHARTIARTL,-0.5182,Negative,0
Bharti Airtel Ltd.,BHARTIARTL,8 of top 10 most-valued firms lose nearly Rs 2 lakh crore in m-cap,2024-11-18,Neutral,BHARTIARTL,-0.2263,Negative,0
Bharti Airtel Ltd.,BHARTIARTL,Airtel revenues likely to grow 13-16% through FY27,2024-11-04,Neutral,BHARTIARTL,0.0,Neutral,0
Bharti Airtel Ltd.,BHARTIARTL,Bharti Telecom buys 1.2% stake in Airtel from familyâ€™s investment firm,2024-11-07,Neutral,BHARTIARTL,0.0,Neutral,0
Bharti Airtel Ltd.,BHARTIARTL,Earnings Call: Airtel to shift its fixed wireless service to a standalone 5G by December,2024-10-30,Neutral,BHARTIARTL,0.0,Neutral,0
Bharti Airtel Ltd.,BHARTIARTL,"Earnings Report: Airtel posts a 168% rise in net income in Q2FY25, loses 2.8 mil subscribers",2024-10-29,Negative,BHARTIARTL,-0.1182,Negative,0
Bharti Airtel Ltd.,BHARTIARTL,"Philippine Tycoon Joselito Campos, India Billionaire Sunil Mittal Revamp Del Monte India",2024-11-18,Neutral,BHARTIARTL,0.0,Neutral,0
Bharti Airtel Ltd.,BHARTIARTL,"Afcons Infrastructure IPO subscribed 76% so far on last day of bidding. Check GMP, details",2024-10-29,Negative,BHARTIARTL,0.0,Neutral,0
Bharti Airtel Ltd.,BHARTIARTL,[Removed],2024-10-25,Negative,BHARTIARTL,0.0,Neutral,0
Bharti Airtel Ltd.,BHARTIARTL,"Reliance Jio True 5G Network Extends Battery Life by Up to 40 Percent, Claims Official",2024-11-12,Neutral,BHARTIARTL,0.5106,Positive,0
Bharti Airtel Ltd.,BHARTIARTL,UNICEF initiative connects 9m youth to livelihood opportunities,2024-11-15,Neutral,BHARTIARTL,0.5267,Positive,0
Bharti Airtel Ltd.,BHARTIARTL,"TRAI monthly data: BSNL gains subscribers in August on losses of Airtel, RJio, VIL",2024-10-25,Negative,BHARTIARTL,-0.0772,Negative,0
Bharti Airtel Ltd.,BHARTIARTL,"Top picks! HDFC Bank, SBI among 8 largecap stocks that can rally up to 31%",2024-11-06,Neutral,BHARTIARTL,0.4714,Positive,0
Bharti Airtel Ltd.,BHARTIARTL,"36,995 Borno learners enroll in learning passport, says UNICEF",2024-11-04,Neutral,BHARTIARTL,0.0,Neutral,0
Bharti Airtel Ltd.,BHARTIARTL,Truecaller Names India MD Rishit Jhunjhunwala as Global CEO,2024-11-07,Neutral,BHARTIARTL,0.0,Neutral,0
Bharti Airtel Ltd.,BHARTIARTL,"Sensex jumps 448 points, Nifty surges above 24,300 in Muhurat session",2024-11-01,Neutral,BHARTIARTL,0.4019,Positive,0
