Company Name,Symbol,Headline,Date,Original_Sentiment,Ticker,VADER_Score,VADER_Label,Is_Hindi,FinBERT_Score,FinBERT_Label,FinBERT_Confidence,Model_Disagreement,High_Disagreement_Flag
Adani Enterprises Ltd.,ADANIENT,Indian billionaire Gautam Adani indicted on bribery charges in alleged bribery scheme,20-11-2024,Positive,ADANI,-0.2732,Negative,0,-0.6566,Negative,0.742,0.3834,0
Adani Enterprises Ltd.,ADANIENT,"Bangladesh top official calls for removing â€˜secularâ€™ from Constitution, citing 90% Muslim population",15-11-2024,Neutral,ADANI,0.2023,Positive,0,-0.3682,Neutral,0.575,0.5705,1
Adani Enterprises Ltd.,ADANIENT,"Nigerian communities seek $310 million from Shell, want asset sale stopped",17-09-2024,Neutral,ADANI,0.2263,Positive,0,0.1185,Neutral,0.859,0.1078,0
Adani Enterprises Ltd.,ADANIENT,Adanis Rejig Digital Strategy as SuperApp Struggles for Traction,08-08-2024,Negative,ADANI,-0.3612,Negative,0,-0.6908,Negative,0.7256,0.3296,0
Adani Enterprises Ltd.,ADANIENT,Adani Ports Seeks More Global Footholds to Challenge China Might,06-08-2024,Neutral,ADANI,0.0772,Positive,0,0.8338,Positive,0.8428,0.7566,1
Adani Enterprises Ltd.,ADANIENT,"Jaishankar met Canada Foreign Minister amid row, says report",12-10-2023,Negative,ADANI,0,Neutral,0,-0.1647,Neutral,0.623,0.1647,0
Adani Enterprises Ltd.,ADANIENT,Adanis Stick With Slum Revamp Plan Even as Dharavi Project Becomes Political Hot Potato,09-08-2024,Negative,ADANI,0,Neutral,0,0.0847,Neutral,0.7958,0.0847,0
Adani Enterprises Ltd.,ADANIENT,EV Giant BYD Plans to Build Karachi Plant as Part of Entry into Pakistan,19-08-2024,Neutral,ADANI,0,Neutral,0,0.1482,Neutral,0.8345,0.1482,0
Adani Enterprises Ltd.,ADANIENT,India reveals astronauts for its Gaganyaan space mission,29-02-2024,Neutral,ADANI,0,Neutral,0,0.0629,Neutral,0.902,0.0629,0
Adani Enterprises Ltd.,ADANIENT,"Gautam Adani becomes Asia's richest man, beats Mukesh Ambani after SC's Hindenburg verdict",08-01-2024,Neutral,ADANI,0.6124,Positive,0,0.1454,Neutral,0.6768,0.467,0
Adani Enterprises Ltd.,ADANIENT,"India: Opposition Leader Mahua Moitra Dragged, Forcibly Lifted By Delhi Cops As She Shouts â€˜How Can You Do This To An MP?'",03-10-2023,Neutral,ADANI,-0.0516,Negative,0,-0.8752,Negative,0.8911,0.8236,1
Adani Enterprises Ltd.,ADANIENT,Adanis to Hike Solar Panel Output by 150% to Cut China Reliance,07-08-2024,Neutral,ADANI,-0.2732,Negative,0,0.806,Positive,0.8329,1.0792,1
Adani Enterprises Ltd.,ADANIENT,BBC Documentary on Indian PM banned in India to be screened at the Australian Parliament House,22-05-2023,Neutral,ADANI,-0.4588,Negative,0,-0.0905,Neutral,0.8072,0.3683,0
Adani Enterprises Ltd.,ADANIENT,India Sends Newly Assembled MALE UAVs To Israel,05-02-2024,Neutral,ADANI,0,Neutral,0,0.3887,Neutral,0.5926,0.3887,0
Adani Enterprises Ltd.,ADANIENT,'Anyone considering business deals with Iran...': US warns of sanctions after India-Iran Chabahar Port deal | India News - Times of India,14-05-2024,Neutral,ADANI,-0.1027,Negative,0,-0.1098,Neutral,0.7156,0.0071,0
Adani Enterprises Ltd.,ADANIENT,"Over 40 later banned sockpuppets created or revised nine related articles on the Adani family and businesses, says Wikipedia",21-02-2023,Negative,ADANI,-0.25,Negative,0,-0.0473,Neutral,0.904,0.2027,0
Adani Enterprises Ltd.,ADANIENT,Fraud claims against Adani group spark political row in India,03-02-2023,Positive,ADANI,-0.6404,Negative,0,-0.8987,Negative,0.9172,0.2583,0
Adani Enterprises Ltd.,ADANIENT,Rich list: Adani's downfall continues as Zuckerberg has best day in ten years,06-02-2023,Neutral,ADANI,0.8316,Positive,0,-0.0202,Neutral,0.6112,0.8518,1
Adani Enterprises Ltd.,ADANIENT,Adani: India watchdog probing Hindenburg fraud allegations,14-02-2023,Neutral,ADANI,-0.7859,Negative,0,-0.0144,Neutral,0.9247,0.7715,1
Adani Enterprises Ltd.,ADANIENT,Adani Group: Asia's richest man hits back at 'con' allegations,26-01-2023,Neutral,ADANI,0.5267,Positive,0,-0.0484,Negative,0.4292,0.5751,1
Adani Enterprises Ltd.,ADANIENT,Israel Prime Minister Netanyahu hands over prestigious Haifa Port to India's Adani Group,31-01-2023,Negative,ADANI,0,Neutral,0,0.1388,Neutral,0.8389,0.1388,0
Adani Enterprises Ltd.,ADANIENT,Adani Group stocks lose up to 10% after Hindenburg reveals short positions,25-01-2023,Positive,ADANI,-0.4019,Negative,0,-0.949,Negative,0.962,0.5471,1
