Company Name,Symbol,Headline,Date,Original_Sentiment,Ticker,VADER_Score,VADER_Label,Is_Hindi
Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever to Discuss Interim Dividend and Q2 FY24 Results on October 19,2023-10-05,Neutral,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,Indian stock market indices tumble amid Middle East tensions,2023-10-19,Neutral,HINDUSTAN,-0.4019,Negative,0
Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever's upgrade to 'Buy' by CLSA signals rural market recovery,2023-10-03,Neutral,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,Indian stocks duck Asia rout Adani buoyed by strong results,2023-02-15,Neutral,HINDUSTAN,0.7106,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever receives Investment Bank Analyst Rating Update,2023-10-02,Neutral,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever receives Investment Bank Analyst Rating Update,2023-10-02,Neutral,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever receives Investment Bank Analyst Rating Update,2023-09-25,Neutral,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,Indian equity indices decline for third day amid global market downturn,2023-09-21,Neutral,HINDUSTAN,-0.2,Negative,0
Hindustan Unilever Ltd.,HINDUNILVR,FMCG firms resist further price cuts amid competition and declining raw material costs,2023-10-05,Neutral,HINDUSTAN,-0.296,Negative,0
Hindustan Unilever Ltd.,HINDUNILVR,HUL anticipates revenue growth ahead of Q2FY24 results,2023-10-18,Negative,HINDUSTAN,0.5818,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,Infosys slips below Hindustan Unilever in market cap after Q2 guidance cut,2023-10-13,Neutral,HINDUSTAN,-0.2732,Negative,0
Hindustan Unilever Ltd.,HINDUNILVR,Reliance Industries Tata Consumer Others Expected to Rebound Despite Underperformance,2023-10-10,Neutral,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever and Nestle India announce Q2 results declare interim dividends,2023-10-19,Neutral,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,Indian stock indices advance following US Federal Reserve's rate decision,2023-11-02,Neutral,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,Indian Auto Sector Shines Amid Overall Equity Market Losses,2023-10-19,Neutral,HINDUSTAN,-0.4019,Negative,0
Hindustan Unilever Ltd.,HINDUNILVR,Slackening demand likely weighed on India's GDP growth in September quarter,2024-11-25,Neutral,HINDUSTAN,0.4732,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,Analysis-India's middle class tightens its belt squeezed by food inflation,2024-11-13,Positive,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,India stocks lower at close of trade; Nifty 50 down 0.12%,2024-10-09,Positive,HINDUSTAN,0.128,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,India stocks higher at close of trade; Nifty 50 up 1.35%,2024-08-07,Neutral,HINDUSTAN,0.4019,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,India's Hindustan Unilever reports higher Q1 profit on volume growth,2024-07-23,Neutral,HINDUSTAN,1.0,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,India's Consumer Sector: Navigating Shifts and Challenges Amidst Economic Upswing,2024-05-13,Neutral,HINDUSTAN,0.0772,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever posts slight profit rise cuts prices to spur volume,2024-01-22,Neutral,HINDUSTAN,0.5706,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever forecasts modest revenue growth in Q3 earnings,2024-01-18,Negative,HINDUSTAN,0.5818,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever stock sees fluctuations in Monday trading,2023-11-13,Neutral,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,Market valuation of top Indian firms sees mixed results amid global economic shifts,2023-11-13,Neutral,HINDUSTAN,0.2023,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever cuts prices reports Q3 growth and increased net profit,2023-10-19,Neutral,HINDUSTAN,1.0,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever shares fall trading at â‚¹2478,2023-11-10,Neutral,HINDUSTAN,0.096,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,Kotak Consumption Fund capitalizes on India's growing economy,2023-11-07,Negative,HINDUSTAN,0.1779,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,Reliance Industries leads as nine of India's top firms see market value surge,2023-11-06,Neutral,HINDUSTAN,0.6939,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever shares take a hit after Q2 earnings fall short,2023-10-20,Neutral,HINDUSTAN,0.096,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever Tech Mahindra among others declare dividends amid mixed financial results,2023-11-02,Neutral,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,RIL target upped by Macquarie Emkay Global retains 'Hold' on Kotak Mahindra Bank,2023-11-01,Neutral,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,Dividend declarations dominate Indian stock market,2023-10-30,Neutral,HINDUSTAN,-0.128,Negative,0
Hindustan Unilever Ltd.,HINDUNILVR,Unilever's Indian business shows resilience amid market challenges,2023-10-26,Neutral,HINDUSTAN,0.0772,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,Indian Equities Slide Amid Middle East Tensions Some Stocks Still Rise,2023-10-20,Neutral,HINDUSTAN,-0.2019,Negative,0
Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever Reduces Product Prices Amidst Q3 Profit Surge,2023-10-20,Neutral,HINDUSTAN,0.8404,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,HULâ€™s Q2 FY24 Results Show Modest Growth Competition Intensifies,2023-10-20,Neutral,HINDUSTAN,0.5818,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,ICICI Prudential Life HDFC Life Tata AIA and Kotak Life adjust portfolios,2023-11-09,Neutral,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,Analysis-In India's sizzling stock market consumer stocks rise 18% but are laggards,2024-03-25,Neutral,HINDUSTAN,0.2,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever receives Investment Bank Analyst Rating Update,2024-04-26,Neutral,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,Trajan Wealth LLC Has $3.93 Million Position in Unilever PLC (NYSE:UL),2024-10-30,Neutral,HINDUSTAN,0.4939,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,Unilever's Indian business shows resilience amid market challenges,2023-10-26,Neutral,HINDUSTAN,0.0772,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,Indian Equities Slide Amid Middle East Tensions Some Stocks Still Rise,2023-10-20,Neutral,HINDUSTAN,-0.2019,Negative,0
Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever Reduces Product Prices Amidst Q3 Profit Surge,2023-10-20,Neutral,HINDUSTAN,0.8404,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,HULâ€™s Q2 FY24 Results Show Modest Growth Competition Intensifies,2023-10-20,Neutral,HINDUSTAN,0.5818,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,Indian Auto Sector Shines Amid Overall Equity Market Losses,2023-10-19,Neutral,HINDUSTAN,-0.4019,Negative,0
Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever cuts prices reports Q3 growth and increased net profit,2023-10-19,Neutral,HINDUSTAN,1.0,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever and Nestle India announce Q2 results declare interim dividends,2023-10-19,Neutral,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,FMCG firms resist further price cuts amid competition and declining raw material costs,2023-10-05,Neutral,HINDUSTAN,-0.296,Negative,0
Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever to Discuss Interim Dividend and Q2 FY24 Results on October 19,2023-10-05,Neutral,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever's upgrade to 'Buy' by CLSA signals rural market recovery,2023-10-03,Neutral,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,Indian stocks duck Asia rout Adani buoyed by strong results,2023-02-15,Neutral,HINDUSTAN,0.7106,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever receives Investment Bank Analyst Rating Update,2023-10-02,Neutral,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever receives Investment Bank Analyst Rating Update,2023-10-02,Neutral,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever receives Investment Bank Analyst Rating Update,2023-09-25,Neutral,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,Indian equity indices decline for third day amid global market downturn,2023-09-21,Neutral,HINDUSTAN,-0.2,Negative,0
Hindustan Unilever Ltd.,HINDUNILVR,Indian stock market indices tumble amid Middle East tensions,2023-10-19,Neutral,HINDUSTAN,-0.4019,Negative,0
Hindustan Unilever Ltd.,HINDUNILVR,HUL anticipates revenue growth ahead of Q2FY24 results,2023-10-18,Negative,HINDUSTAN,0.5818,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,Infosys slips below Hindustan Unilever in market cap after Q2 guidance cut,2023-10-13,Neutral,HINDUSTAN,-0.2732,Negative,0
Hindustan Unilever Ltd.,HINDUNILVR,Reliance Industries Tata Consumer Others Expected to Rebound Despite Underperformance,2023-10-10,Neutral,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,Dividend declarations dominate Indian stock market,2023-10-30,Neutral,HINDUSTAN,-0.128,Negative,0
Hindustan Unilever Ltd.,HINDUNILVR,India stocks lower at close of trade; Nifty 50 down 0.16%,2024-07-24,Neutral,HINDUSTAN,0.128,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,RIL target upped by Macquarie Emkay Global retains 'Hold' on Kotak Mahindra Bank,2023-11-01,Neutral,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,Indian stock indices advance following US Federal Reserve's rate decision,2023-11-02,Neutral,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,"For Unilever, India is not just a market, it's much bigger: CEO",2024-11-05,Negative,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,"Exclusive-Unilever, Procter & Gamble face risk from Trump's threatened Mexico tariffs",2024-11-07,Neutral,HINDUSTAN,-0.6249,Negative,0
Hindustan Unilever Ltd.,HINDUNILVR,8 of top 10 most-valued firms lose nearly Rs 2 lakh crore in m-cap,2024-11-18,Neutral,HINDUSTAN,-0.2263,Negative,0
Hindustan Unilever Ltd.,HINDUNILVR,"Nestle, PepsiCo, Unilever among MNCs selling less healthy food products in India, low-income nations, says global index",2024-11-11,Neutral,HINDUSTAN,0.3415,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,Ben & Jerry's lawsuit accuses parent company of censorship over Gaza,2024-11-15,Neutral,HINDUSTAN,-0.5106,Negative,0
Hindustan Unilever Ltd.,HINDUNILVR,"Quick Commerce Boom Led to Closure of 2 Lakh Kirana Stores, Claims Products Distributors Federation",2024-10-29,Negative,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,"Chanel CEO Leena Nair traveled 48 hours on a train across India for her MBAâ€”now, she leads one of the biggest fashion houses in the world",2024-10-25,Negative,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,"PR lessons from Boeing, Starbucks CEO changes",2024-11-12,Negative,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,"M-cap of nine of the top 10 most valued firms plunges Rs 2 lakh crore as Sensex, Nifty tumble",2024-10-28,Negative,HINDUSTAN,0.7713,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,"Mcap of 6 of top-10 most valued firms jump Rs 1 lakh cr; State Bank, ICICI Bank top gainers",2024-11-04,Neutral,HINDUSTAN,0.6115,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,"NestlÃ© plans to double down on â€˜billionaire brandsâ€™ in major overhaul, cutting $2.8 billion in costs",2024-11-19,Positive,HINDUSTAN,-0.197,Negative,0
Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever receives Investment Bank Analyst Rating Update,2024-04-26,Neutral,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,Slackening demand likely weighed on India's GDP growth in September quarter,2024-11-25,Neutral,HINDUSTAN,0.4732,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,Analysis-India's middle class tightens its belt squeezed by food inflation,2024-11-13,Positive,HINDUSTAN,0.0,Neutral,0
Hindustan Unilever Ltd.,HINDUNILVR,JPMorgan cuts Hindustan Unilever stock price target,2024-10-24,Positive,HINDUSTAN,-0.296,Negative,0
Hindustan Unilever Ltd.,HINDUNILVR,India stocks lower at close of trade; Nifty 50 down 0.12%,2024-10-09,Positive,HINDUSTAN,0.128,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,India stocks higher at close of trade; Nifty 50 up 1.35%,2024-08-07,Neutral,HINDUSTAN,0.4019,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,India's Hindustan Unilever reports higher Q1 profit on volume growth,2024-07-23,Neutral,HINDUSTAN,1.0,Positive,0
Hindustan Unilever Ltd.,HINDUNILVR,India's Consumer Sector: Navigating Shifts and Challenges Amidst Economic Upswing,2024-05-13,Neutral,HINDUSTAN,0.0772,Positive,0
