Company Name,Symbol,Headline,Date,Original_Sentiment,Ticker,VADER_Score,VADER_Label,Is_Hindi
ICICI Bank Ltd.,ICICIBANK,ICICI Bank Canara Bank modify fixed deposit rates ahead of RBI policy announcement,2023-10-06,Positive,ICICIBANK,0.0,Neutral,0
ICICI Bank Ltd.,ICICIBANK,ICICI Bank Q2FY24 results boost stock by over 1% analysts foresee margin compression,2023-10-23,Neutral,ICICIBANK,0.4019,Positive,0
ICICI Bank Ltd.,ICICIBANK,ICICI Bank Leads Gainers as BSE Sensex Trades Flat 2023-10-23,2023-10-23,Neutral,ICICIBANK,0.0,Neutral,0
ICICI Bank Ltd.,ICICIBANK,ICICI Bank Q2 Profit Surges 36% YoY Driven by Higher Core Income,2023-10-23,Neutral,ICICIBANK,0.6404,Positive,0
ICICI Bank Ltd.,ICICIBANK,Tiger Logistics shares surge on ICICI Bank alliance,2023-10-18,Neutral,ICICIBANK,0.496,Positive,0
ICICI Bank Ltd.,ICICIBANK,Sensex Drops 550 Points Amid Rising Oil Prices and US Interest Rates,2023-10-18,Neutral,ICICIBANK,0.4588,Positive,0
ICICI Bank Ltd.,ICICIBANK,Indian Equity Market Sees Growth Major Companies Announce Q2 FY24 Earnings,2023-10-18,Neutral,ICICIBANK,0.5818,Positive,0
ICICI Bank Ltd.,ICICIBANK,SBI To Issue AAA-Rated Tier-2 Bond Next Week Amid Robust Credit Demand,2023-10-26,Positive,ICICIBANK,0.7423,Positive,0
ICICI Bank Ltd.,ICICIBANK,Indian Equities Slide Amid Middle East Tensions Some Stocks Still Rise,2023-10-20,Negative,ICICIBANK,-0.2019,Negative,0
ICICI Bank Ltd.,ICICIBANK,Indian banks witness market cap surge in Q3 2023 led by HDFC Bank,2023-10-05,Neutral,ICICIBANK,0.2,Positive,0
ICICI Bank Ltd.,ICICIBANK,Indian banks post positive Q2 results amidst weak market cues,2023-10-23,Neutral,ICICIBANK,-0.0221,Neutral,0
ICICI Bank Ltd.,ICICIBANK,ICICI Bank Ltd receives Investment Bank Analyst Rating Update,2023-10-09,Neutral,ICICIBANK,0.0,Neutral,0
ICICI Bank Ltd.,ICICIBANK,Jio Financial exclusion from Nifty could lead to passive inflows for other heavyweights,2023-09-06,Neutral,ICICIBANK,0.3182,Positive,0
