Company Name,Symbol,Headline,Date,Original_Sentiment,Ticker,VADER_Score,VADER_Label,Is_Hindi
Tata Consultancy Services Ltd.,TCS,Tata Consultancy stock upgraded by Jefferies citing revival and growth potential,2024-07-12,Neutral,TCS,0.5818,Positive,0
Tata Consultancy Services Ltd.,TCS,"TCS, HDFC Bank among 10 stocks that earned upgrades in past 1 month. Check revised target prices",2024-11-04,Positive,TCS,0.0,Neutral,0
Tata Consultancy Services Ltd.,TCS,New Balance Offers Runners And Spectators Gear For 2024 NYC Marathon,2024-11-04,Neutral,TCS,0.0,Neutral,0
Tata Consultancy Services Ltd.,TCS,"New York Marathon Results 2024: Men's, Women's Top Finishers as Defending Champs Lose",2024-11-04,Neutral,TCS,0.2263,Positive,0
Tata Consultancy Services Ltd.,TCS,"Ryan Reynolds, Alicia Keys and More Stars Whoâ€™ve Run Marathons",2024-11-04,Neutral,TCS,0.0,Neutral,0
Tata Consultancy Services Ltd.,TCS,Pulling fastest in historic all-female Formula E test,2024-11-08,Neutral,TCS,0.0,Neutral,0
Tata Consultancy Services Ltd.,TCS,"Don's return brings cheer to IT, but euphoria may be short-lived",2024-11-07,Positive,TCS,0.8442,Positive,0
Tata Consultancy Services Ltd.,TCS,"Abbi Pulling, Jamie Chadwick, Bianca Bustamante And More Talk Formula E",2024-11-13,Negative,TCS,0.0,Neutral,0
Tata Consultancy Services Ltd.,TCS,Running for Lahaina,2024-10-30,Neutral,TCS,0.0,Neutral,0
Tata Consultancy Services Ltd.,TCS,"New York Marathon 2024: Route, Course Map, Times, Road Closures & Event Details",2024-11-04,Neutral,TCS,0.0,Neutral,0
Tata Consultancy Services Ltd.,TCS,How an Indian tech company built a $19 billion brand by sponsoring the New York City marathon,2024-10-31,Neutral,TCS,0.0,Neutral,0
Tata Consultancy Services Ltd.,TCS,TCS partners Air France-KLM to modernise operations,2024-11-08,Neutral,TCS,0.0,Neutral,0
Tata Consultancy Services Ltd.,TCS,TMEM16 and OSCA/TMEM63 proteins share a conserved potential to permeate ions and phospholipids,2024-11-04,Positive,TCS,0.296,Positive,0
Tata Consultancy Services Ltd.,TCS,ANAã‚·ã‚¹ãƒ†ãƒ ã‚ºã€æ—¥æœ¬TCSã¨ã‚¨ã‚¢ãƒ©ã‚¤ãƒ³ãƒ“ã‚¸ãƒã‚¹ã®ãƒ‡ã‚¸ã‚¿ãƒ«å¤‰é©ã«é–¢ã™ã‚‹åŸºæœ¬åˆæ„æ›¸ã‚’ç· çµ,2024-11-11,Negative,TCS,0.0,Neutral,0
Tata Consultancy Services Ltd.,TCS,Responsible Retail: Reshaping Spaces And Sustainability Through Adaptive In-Store Initiatives,2024-11-18,Neutral,TCS,0.3182,Positive,0
Tata Consultancy Services Ltd.,TCS,"Marketing Briefing: With RFK Jr. headed to HHS, what should pharma advertisers be thinking about?",2024-11-19,Positive,TCS,0.0,Neutral,0
Tata Consultancy Services Ltd.,TCS,"Taking A 7,000 Mile Road Trip Part 3: Ending On A High Note",2024-11-11,Negative,TCS,0.0,Neutral,0
Tata Consultancy Services Ltd.,TCS,I spoke with Tata Consultancy Services about how new tools can help speed up AI adoption across a range of businesses,2024-11-05,Neutral,TCS,0.4019,Positive,0
