Date,Ticker,Close,Daily_Return_%,Avg_VADER_Score,News_Count,English_Avg_Score,Hindi_Avg_Score,Volume,Volume_Spike,Language_Gap,Language_Gap_Abs,Broker_Panic_Score,Is_Outage_Day,Model_Disagreement,High_Disagreement,Hype_vs_Reality,Hype_Divergence_Score
02-01-2023,ADANI,2478.901611,32.17621874,,,,,36920327,0,,,0,0,0,0,0,
09-01-2023,ADANI,2360.606445,-4.193744474,-0.3182,1,-0.3182,,10223959,0,,,0,0,0,0,0,0.6818
30-01-2023,ADANI,1917.219971,25.37961446,0.035696875,32,0.035696875,,66182019,0,,,0,0,0,0,0,-0.9643
06-02-2023,ADANI,2213.336914,18.13047411,-0.085841667,12,-0.085841667,,10391759,0,,,0,0,0.179817041,0,0,-1.0858
27-02-2023,ADANI,1836.480713,31.16953502,0.00866,10,0.00866,,76869603,0,,,0,0,0.063813759,0,0,-0.9913
06-03-2023,ADANI,2227.874023,23.60257117,-0.1374,10,-0.1374,,11256027,0,,,0,0,0.074074681,0,0,-1.1374
27-03-2023,ADANI,3821.807617,71.54505046,-0.1374,10,-0.1374,,1028377,0,,,0,0,0.08432778,0,0,-1.1374
03-04-2023,ADANI,2468.410889,-21.42641771,-0.1374,10,-0.1374,,16443321,0,,,0,0,0,0,0,0.8626
10-04-2023,ADANI,2528.957031,2.458985627,,,,,8538893,0,,,0,0,0,0,0,
01-05-2023,ADANI,2395.863281,33.977507,-0.10534,5,-0.175566667,0,15980558,0,0.175566667,0.175566667,0,0,0,0,0,-1.1053
08-05-2023,ADANI,2956.727783,22.8843473,0,1,-0.175566667,0,30500853,1,0.175566667,0.175566667,0,0,0,0,0,-1
29-05-2023,ADANI,1751.647217,-15.17079068,0,1,-0.175566667,0,53413691,1,0.175566667,0.175566667,0,0,0.060818077,0,0,1
05-06-2023,ADANI,2244.009766,31.32362541,0,1,,0,18646318,0,,,0,0,0,0,0,-1
12-06-2023,ADANI,2881.394531,28.40383204,-0.328,2,-0.328,,19355777,1,,,0,0,0.189370888,0,0,-1.328
26-06-2023,ADANI,1800.480103,-37.51358644,0.7157,4,0.7157,,19188072,1,,,0,0,0.533716557,1,1,1.7157
