Date,Ticker,Close,Daily_Return_%,Avg_VADER_Score,News_Count,English_Avg_Score,Hindi_Avg_Score,Volume,Volume_Spike,Language_Gap,Language_Gap_Abs,Broker_Panic_Score,Is_Outage_Day,Model_Disagreement,High_Disagreement,Hype_vs_Reality,Hype_Divergence_Score
2023-01-02,HINDUSTAN,2434.306152,0.5284380010651688,-0.5719,1.0,-0.5719,,6281931,0,,,0.0,0,0.0,0,0,-1.1003
2023-01-09,HINDUSTAN,2464.2229,1.3431550533535508,-0.5719,1.0,-0.5719,,3426143,0,,,0.0,0,0.0,0,0,-1.5719
2023-01-30,HINDUSTAN,2320.504395,-5.706936907375715,-0.5719,1.0,-0.5719,,5249914,0,,,0.0,0,0.0,0,0,0.4281
2023-02-06,HINDUSTAN,2390.35376,3.6547302575381533,,,,,5187291,0,,,0.0,0,0.0,0,0,
2023-02-27,HINDUSTAN,2352.969238,-1.1988360133571634,,,,,5812277,0,,,0.0,0,0.0,0,0,
2023-03-06,HINDUSTAN,2411.932861,3.143687803752161,,,,,5167184,0,,,0.0,0,0.0,0,0,
2023-03-27,HINDUSTAN,2400.388184,-0.47864835653896876,,,,,1672649,0,,,0.0,0,0.0,0,0,
2023-04-03,HINDUSTAN,2386.881592,-0.023876108469989443,,,,,4374753,0,,,0.0,0,0.0,0,0,
2023-04-10,HINDUSTAN,2501.374023,4.785063577575377,,,,,3775374,1,,,0.0,0,0.0,0,0,
2023-05-01,HINDUSTAN,2629.682373,5.4143548501408905,,,,,7570713,0,,,0.0,0,0.0,0,0,
2023-05-08,HINDUSTAN,2463.838867,-6.048887620661203,,,,,5862733,1,,,0.0,0,0.0,0,0,
2023-05-29,HINDUSTAN,2427.978027,-1.207459162283742,,,,,4701145,0,,,0.0,0,0.0,0,0,
2023-06-05,HINDUSTAN,2400.54248,-0.5795944502047683,,,,,5436557,0,,,0.0,0,0.0,0,0,
2023-06-12,HINDUSTAN,2468.067871,2.8129221441646868,0.072,1.0,0.072,,1573754,0,,,0.0,0,0.0,0,0,-0.928
