Date,Ticker,Close,Daily_Return_%,Avg_VADER_Score,News_Count,English_Avg_Score,Hindi_Avg_Score,Volume,Volume_Spike,Language_Gap,Language_Gap_Abs,Broker_Panic_Score,Is_Outage_Day,Model_Disagreement,High_Disagreement,Hype_vs_Reality,Hype_Divergence_Score
2023-01-02,ITC,409.8319702,30.92834390968855,,,,,90897917,0,,,0.0,0,0.0,0,0,
2023-01-09,ITC,396.605896,-2.9769900737895316,,,,,40258708,0,,,0.0,0,0.0,0,0,
2023-01-30,ITC,366.032135,-1.2071868248411661,,,,,79934545,0,,,0.0,0,0.0,0,0,
2023-02-06,ITC,380.1614685,4.285288542809662,,,,,28739904,0,,,0.0,0,0.0,0,0,
2023-02-27,ITC,368.3605347,2.8113940624205007,,,,,52816446,0,,,0.0,0,0.0,0,0,
2023-03-06,ITC,382.013092,4.280833447171805,,,,,44242234,0,,,0.0,0,0.0,0,0,
2023-03-27,ITC,277.4475403,-27.372242964908644,,,,,6947412,0,,,0.0,0,0.0,0,0,
2023-04-03,ITC,385.760498,37.99474243332225,,,,,37541229,0,,,0.0,0,0.0,0,0,
2023-04-10,ITC,400.3532715,3.7960297481476,,,,,27205850,0,,,0.0,0,0.0,0,0,
2023-05-01,ITC,418.9138489,12.3082560539701,,,,,57738670,1,,,0.0,0,0.0,0,0,
2023-05-08,ITC,398.3252563,-4.725983794758914,,,,,31721861,0,,,0.0,0,0.0,0,0,
2023-05-29,ITC,334.0383301,-11.509164140556184,,,,,59907964,1,,,0.0,0,0.0,0,0,
2023-06-05,ITC,383.8647461,15.602616429891013,,,,,46229806,0,,,0.0,0,0.0,0,0,
2023-06-12,ITC,408.465271,6.4086439689857055,,,,,21203900,1,,,0.0,0,0.0,0,0,
2023-06-26,ITC,316.6889954,-22.468562719007746,,,,,21438758,1,,,0.0,0,0.0,0,0,
2023-07-03,ITC,393.1671143,24.253123238592686,,,,,33355357,0,,,0.0,0,0.0,0,0,
2023-07-10,ITC,403.9243164,2.9098114853336354,,,,,17067888,0,,,0.0,0,0.0,0,0,
2023-07-31,ITC,390.5218811,-0.0035486285719024124,,,,,34900496,0,,,0.0,0,0.0,0,0,
2023-08-07,ITC,396.0327759,1.4936978409038515,,,,,43596512,1,,,0.0,0,0.0,0,0,
2023-08-28,ITC,334.1677246,-11.630185178429542,,,,,33351081,0,,,0.0,0,0.0,0,0,
2023-09-04,ITC,388.3616638,15.787321927224584,-0.16676,5.0,-0.20845,0.0,33668903,0,0.20845,0.20845,0.0,0,0.0,0,0,-1.1668
2023-09-11,ITC,383.0271301,-1.3735994556731357,-0.16676,5.0,-0.20845,0.0,8085620,0,0.20845,0.20845,0.0,0,0.0,0,0,0.8332
2023-09-25,ITC,282.8777466,-26.14681196965165,0.2975,2.0,0.2975,0.0,7217255,0,-0.2975,0.2975,0.0,0,0.26804063597397565,0,0,1.2975
2023-10-02,ITC,398.3252563,36.1463704760089,0.2975,2.0,0.2975,,57007962,0,,,0.0,0,0.26804063597397565,0,0,-0.7025
