Date,Ticker,Close,Daily_Return_%,Avg_VADER_Score,News_Count,English_Avg_Score,Hindi_Avg_Score,Volume,Volume_Spike,Language_Gap,Language_Gap_Abs,Broker_Panic_Score,Is_Outage_Day,Model_Disagreement,High_Disagreement,Hype_vs_Reality,Hype_Divergence_Score
2023-01-02,RELIANCE,1242.976929,15.802260107349998,,,,,55028269,0,,,0.0,0,0.0,0,0,
2023-01-09,RELIANCE,1188.354492,-4.220854283248854,,,,,42764874,0,,,0.0,0,0.0,0,0,
2023-01-30,RELIANCE,1114.331055,-5.808175842744134,,,,,41294178,0,,,0.0,0,0.0,0,0,
2023-02-06,RELIANCE,1151.57666,3.9438019132081337,,,,,39110962,0,,,0.0,0,0.0,0,0,
2023-02-27,RELIANCE,1104.767456,-3.592116506600529,-0.3818,1.0,-0.3818,,64357229,0,,,0.0,0,0.0,0,0,0.6182
2023-03-06,RELIANCE,1151.328491,4.660370870918352,-0.3818,1.0,-0.3818,,40031949,0,,,0.0,0,0.0,0,0,-1.3818
2023-03-27,RELIANCE,1149.709595,-0.1406111298951518,-0.3818,1.0,-0.3818,,9264891,0,,,0.0,0,0.0,0,0,-0.2412
2023-04-03,RELIANCE,1196.494141,4.376527255038809,0.0,1.0,0.0,,48930112,1,,,0.0,0,0.22043233277659907,0,0,-1.0
2023-04-10,RELIANCE,1201.209229,0.5776140087534687,0.1779,1.0,0.1779,,25877376,0,,,0.0,0,0.28597311645211215,0,0,-0.3997
2023-05-01,RELIANCE,1179.815552,-1.1778611133455792,-0.4493,2.0,-0.4493,,59803356,0,,,0.0,0,0.32323849296352886,1,0,0.5507
2023-05-08,RELIANCE,1209.9198,2.7815999228943067,0.0,1.0,0.0,,32323182,0,,,0.0,0,0.32323849296352886,1,0,-1.0
2023-05-29,RELIANCE,1068.863892,-11.755533907815138,0.0,1.0,0.0,,49794438,1,,,0.0,0,0.2594034759468988,0,0,1.0
2023-06-05,RELIANCE,1160.907593,8.736954954500753,0.0,1.0,0.0,,50889996,1,,,0.0,0,0.0,0,0,-1.0
2023-06-12,RELIANCE,1221.509155,5.22018827040267,0.0,1.0,0.0,,16422442,0,,,0.0,0,0.0,0,0,-1.0
2023-06-26,RELIANCE,1052.63562,-13.824991348509375,0.5574,1.0,0.5574,,15135435,0,,,0.0,0,0.3218150400462974,1,0,1.5574
2023-07-03,RELIANCE,1207.065918,14.287865934304378,0.22183333333333333,3.0,0.22183333333333333,,43323254,0,,,0.0,0,0.28062720691205134,0,0,-0.7782
2023-07-10,RELIANCE,1219.499023,1.2851401934556028,0.0,1.0,0.0,,15102300,0,,,0.0,0,0.28062720691205134,0,0,-1.0
2023-07-31,RELIANCE,1141.081787,-5.799262810694073,-0.17,2.0,-0.17,,58167880,1,,,0.0,0,0.19648722981782174,0,0,0.83
2023-08-07,RELIANCE,1218.85376,7.211299786736558,0.1004,4.0,0.1004,,51042748,1,,,0.0,0,0.13668474677154,0,0,-0.8996
2023-08-28,RELIANCE,1076.989746,-11.87739130213512,0.4021,4.0,0.4021,,40130644,0,,,0.0,0,0.28619266820331607,0,1,1.4021
2023-09-04,RELIANCE,1140.682251,6.760301558017291,0.0822235294117647,17.0,0.0822235294117647,,31405203,0,,,0.0,0,0.17966368141568995,0,0,-0.9178
2023-09-11,RELIANCE,1146.787109,0.5351935646099815,-0.0363,4.0,-0.0363,,14513610,0,,,0.0,0,0.22677571278696185,0,0,-0.5715
2023-09-25,RELIANCE,1167.900879,1.841123765195718,0.0,5.0,0.0,,8047142,0,,,0.0,0,0.060726471181779394,0,0,-1.0
