Date,Ticker,Close,Daily_Return_%,Avg_VADER_Score,News_Count,English_Avg_Score,Hindi_Avg_Score,Volume,Volume_Spike,Language_Gap,Language_Gap_Abs,Broker_Panic_Score,Is_Outage_Day,Model_Disagreement,High_Disagreement,Hype_vs_Reality,Hype_Divergence_Score
2023-01-02,TCS,3206.674561,2.4098033997093093,,,,,7007949,0,,,0.0,0,0.0,0,0,
2023-01-09,TCS,3270.478516,2.142332761277943,,,,,4013566,0,,,0.0,0,0.0,0,0,
2023-01-30,TCS,2960.7854,-8.90137620894912,,,,,6401091,0,,,0.0,0,0.0,0,0,
2023-02-06,TCS,3129.337158,5.721359129938463,,,,,5190944,0,,,0.0,0,0.0,0,0,
2023-02-27,TCS,2924.458008,-6.199860333568374,,,,,8082952,0,,,0.0,0,0.0,0,0,
2023-03-06,TCS,3120.768555,6.801635264423378,,,,,7064361,0,,,0.0,0,0.0,0,0,
2023-03-27,TCS,2980.633057,-4.490416239790651,,,,,1231668,0,,,0.0,0,0.0,0,0,
2023-04-03,TCS,3175.509033,6.489343433079153,,,,,7686759,0,,,0.0,0,0.0,0,0,
2023-04-10,TCS,3271.223633,3.0301349798579014,,,,,3413351,0,,,0.0,0,0.0,0,0,
2023-05-01,TCS,3075.965088,-5.694712208670783,,,,,9505625,1,,,0.0,0,0.0,0,0,
2023-05-08,TCS,3289.05835,6.875119543810104,,,,,5870266,1,,,0.0,0,0.0,0,0,
2023-05-29,TCS,2961.980713,-9.04162926315899,0.0,2.0,,0.0,6664686,0,,,0.0,0,0.0,0,0,1.0
2023-06-05,TCS,3148.102783,6.581929571113099,0.0,2.0,,0.0,8361448,0,,,0.0,0,0.0,0,0,-1.0
2023-06-12,TCS,3356.579346,6.622292134989682,0.0,2.0,,0.0,1896572,0,,,0.0,0,0.0,0,0,-1.0
2023-06-26,TCS,3193.599854,-4.855523293206843,,,,,1455647,0,,,0.0,0,0.0,0,0,
2023-07-03,TCS,3209.646973,0.8190617360409158,,,,,7095503,0,,,0.0,0,0.0,0,0,
2023-07-10,TCS,3366.637695,5.050908093111683,0.0258,2.0,0.0258,,3158797,0,,,0.0,0,0.0,0,0,-0.9742
2023-07-31,TCS,2976.46582,-12.084116092314613,0.0258,2.0,0.0258,,6519137,0,,,0.0,0,0.0,0,0,1.0258
